#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q9BSJ6	uniprotkb:P04156	intact:EBI-2568609|intact:EBI-16428888|uniprotkb:Q96CT4|uniprotkb:Q9NVV1|uniprotkb:Q9NWB5	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	psi-mi:pimre_human(display_long)|uniprotkb:PICALM-interacting mitotic regulator(gene name synonym)|uniprotkb:PIMREG(gene name)|psi-mi:PIMREG(display_short)|uniprotkb:CALM-interactor expressed in thymus and spleen(gene name synonym)|uniprotkb:CATS(gene name synonym)|uniprotkb:FAM64A(gene name synonym)|uniprotkb:RCS1(gene name synonym)|uniprotkb:Regulator of chromosome segregation protein 1(gene name synonym)	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2568638|imex:IM-19010-2	intact-miscore:0.57
uniprotkb:Q9H4B4	uniprotkb:P04156	intact:EBI-751877|uniprotkb:Q15767|uniprotkb:Q96CV1|uniprotkb:Q5JR99	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	psi-mi:plk3_human(display_long)|uniprotkb:PLK3(gene name)|psi-mi:PLK3(display_short)|uniprotkb:CNK(gene name synonym)|uniprotkb:FNK(gene name synonym)|uniprotkb:PRK(gene name synonym)|uniprotkb:Polo-like kinase 3(gene name synonym)|uniprotkb:Cytokine-inducible serine/threonine-protein kinase(gene name synonym)|uniprotkb:FGF-inducible kinase(gene name synonym)|uniprotkb:Proliferation-related kinase(gene name synonym)	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2568647|imex:IM-19010-3	intact-miscore:0.57
uniprotkb:Q9H4B4	uniprotkb:P04156	intact:EBI-751877|uniprotkb:Q15767|uniprotkb:Q96CV1|uniprotkb:Q5JR99	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	psi-mi:plk3_human(display_long)|uniprotkb:PLK3(gene name)|psi-mi:PLK3(display_short)|uniprotkb:CNK(gene name synonym)|uniprotkb:FNK(gene name synonym)|uniprotkb:PRK(gene name synonym)|uniprotkb:Polo-like kinase 3(gene name synonym)|uniprotkb:Cytokine-inducible serine/threonine-protein kinase(gene name synonym)|uniprotkb:FGF-inducible kinase(gene name synonym)|uniprotkb:Proliferation-related kinase(gene name synonym)	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2568653|imex:IM-19010-4	intact-miscore:0.57
uniprotkb:P29372	uniprotkb:P04156	intact:EBI-1043398|intact:EBI-10970139|uniprotkb:Q13770|uniprotkb:Q15275|uniprotkb:Q15961|uniprotkb:Q96BZ6|uniprotkb:Q96S33|uniprotkb:Q9NNX5|uniprotkb:G5E9E2|uniprotkb:Q5J9I4	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	psi-mi:3mg_human(display_long)|uniprotkb:3-methyladenine DNA glycosidase(gene name synonym)|uniprotkb:ADPG(gene name synonym)|uniprotkb:3-alkyladenine DNA glycosylase(gene name synonym)|uniprotkb:N-methylpurine-DNA glycosylase(gene name synonym)|uniprotkb:MPG(gene name)|psi-mi:MPG(display_short)|uniprotkb:AAG(gene name synonym)|uniprotkb:ANPG(gene name synonym)|uniprotkb:MID1(gene name synonym)	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2568659|imex:IM-19010-5	intact-miscore:0.57
uniprotkb:P29372	uniprotkb:P04156	intact:EBI-1043398|intact:EBI-10970139|uniprotkb:Q13770|uniprotkb:Q15275|uniprotkb:Q15961|uniprotkb:Q96BZ6|uniprotkb:Q96S33|uniprotkb:Q9NNX5|uniprotkb:G5E9E2|uniprotkb:Q5J9I4	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	psi-mi:3mg_human(display_long)|uniprotkb:3-methyladenine DNA glycosidase(gene name synonym)|uniprotkb:ADPG(gene name synonym)|uniprotkb:3-alkyladenine DNA glycosylase(gene name synonym)|uniprotkb:N-methylpurine-DNA glycosylase(gene name synonym)|uniprotkb:MPG(gene name)|psi-mi:MPG(display_short)|uniprotkb:AAG(gene name synonym)|uniprotkb:ANPG(gene name synonym)|uniprotkb:MID1(gene name synonym)	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2568812|imex:IM-19010-6	intact-miscore:0.57
uniprotkb:P04156	uniprotkb:P49639	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	intact:EBI-740785|uniprotkb:O43363|uniprotkb:B2R8U7|uniprotkb:A4D184	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:hxa1_human(display_long)|uniprotkb:HOXA1(gene name)|psi-mi:HOXA1(display_short)|uniprotkb:HOX1F(gene name synonym)|uniprotkb:Homeobox protein Hox-1F(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2568892|imex:IM-19010-7	intact-miscore:0.57
uniprotkb:P49639	uniprotkb:P04156	intact:EBI-740785|uniprotkb:O43363|uniprotkb:B2R8U7|uniprotkb:A4D184	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	psi-mi:hxa1_human(display_long)|uniprotkb:HOXA1(gene name)|psi-mi:HOXA1(display_short)|uniprotkb:HOX1F(gene name synonym)|uniprotkb:Homeobox protein Hox-1F(gene name synonym)	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2568973|imex:IM-19010-8	intact-miscore:0.57
uniprotkb:Q9BSJ6	uniprotkb:P04156	intact:EBI-2568609|intact:EBI-16428888|uniprotkb:Q96CT4|uniprotkb:Q9NVV1|uniprotkb:Q9NWB5	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	psi-mi:pimre_human(display_long)|uniprotkb:PICALM-interacting mitotic regulator(gene name synonym)|uniprotkb:PIMREG(gene name)|psi-mi:PIMREG(display_short)|uniprotkb:CALM-interactor expressed in thymus and spleen(gene name synonym)|uniprotkb:CATS(gene name synonym)|uniprotkb:FAM64A(gene name synonym)|uniprotkb:RCS1(gene name synonym)|uniprotkb:Regulator of chromosome segregation protein 1(gene name synonym)	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:"MI:0416"(fluorescence microscopy)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2568996|imex:IM-19010-9	intact-miscore:0.57
uniprotkb:P49639	uniprotkb:P04156	intact:EBI-740785|uniprotkb:O43363|uniprotkb:B2R8U7|uniprotkb:A4D184	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	psi-mi:hxa1_human(display_long)|uniprotkb:HOXA1(gene name)|psi-mi:HOXA1(display_short)|uniprotkb:HOX1F(gene name synonym)|uniprotkb:Homeobox protein Hox-1F(gene name synonym)	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:"MI:0416"(fluorescence microscopy)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2569015|imex:IM-19010-10	intact-miscore:0.57
uniprotkb:Q9H4B4	uniprotkb:P04156	intact:EBI-751877|uniprotkb:Q15767|uniprotkb:Q96CV1|uniprotkb:Q5JR99	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	psi-mi:plk3_human(display_long)|uniprotkb:PLK3(gene name)|psi-mi:PLK3(display_short)|uniprotkb:CNK(gene name synonym)|uniprotkb:FNK(gene name synonym)|uniprotkb:PRK(gene name synonym)|uniprotkb:Polo-like kinase 3(gene name synonym)|uniprotkb:Cytokine-inducible serine/threonine-protein kinase(gene name synonym)|uniprotkb:FGF-inducible kinase(gene name synonym)|uniprotkb:Proliferation-related kinase(gene name synonym)	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:"MI:0416"(fluorescence microscopy)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2569024|imex:IM-19010-11	intact-miscore:0.57
uniprotkb:P29372	uniprotkb:P04156	intact:EBI-1043398|intact:EBI-10970139|uniprotkb:Q13770|uniprotkb:Q15275|uniprotkb:Q15961|uniprotkb:Q96BZ6|uniprotkb:Q96S33|uniprotkb:Q9NNX5|uniprotkb:G5E9E2|uniprotkb:Q5J9I4	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	psi-mi:3mg_human(display_long)|uniprotkb:3-methyladenine DNA glycosidase(gene name synonym)|uniprotkb:ADPG(gene name synonym)|uniprotkb:3-alkyladenine DNA glycosylase(gene name synonym)|uniprotkb:N-methylpurine-DNA glycosylase(gene name synonym)|uniprotkb:MPG(gene name)|psi-mi:MPG(display_short)|uniprotkb:AAG(gene name synonym)|uniprotkb:ANPG(gene name synonym)|uniprotkb:MID1(gene name synonym)	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:"MI:0416"(fluorescence microscopy)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2569033|imex:IM-19010-12	intact-miscore:0.57
uniprotkb:P04156	uniprotkb:Q9BSJ6	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	intact:EBI-2568609|intact:EBI-16428888|uniprotkb:Q96CT4|uniprotkb:Q9NVV1|uniprotkb:Q9NWB5	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:pimre_human(display_long)|uniprotkb:PICALM-interacting mitotic regulator(gene name synonym)|uniprotkb:PIMREG(gene name)|psi-mi:PIMREG(display_short)|uniprotkb:CALM-interactor expressed in thymus and spleen(gene name synonym)|uniprotkb:CATS(gene name synonym)|uniprotkb:FAM64A(gene name synonym)|uniprotkb:RCS1(gene name synonym)|uniprotkb:Regulator of chromosome segregation protein 1(gene name synonym)	psi-mi:"MI:0416"(fluorescence microscopy)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2584965|imex:IM-19010-13	intact-miscore:0.57
uniprotkb:P04156	uniprotkb:Q9BSJ6	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	intact:EBI-2568609|intact:EBI-16428888|uniprotkb:Q96CT4|uniprotkb:Q9NVV1|uniprotkb:Q9NWB5	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:pimre_human(display_long)|uniprotkb:PICALM-interacting mitotic regulator(gene name synonym)|uniprotkb:PIMREG(gene name)|psi-mi:PIMREG(display_short)|uniprotkb:CALM-interactor expressed in thymus and spleen(gene name synonym)|uniprotkb:CATS(gene name synonym)|uniprotkb:FAM64A(gene name synonym)|uniprotkb:RCS1(gene name synonym)|uniprotkb:Regulator of chromosome segregation protein 1(gene name synonym)	psi-mi:"MI:0089"(protein array)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2605228|imex:IM-19010-14	author score:21.9|intact-miscore:0.57
uniprotkb:P04156	uniprotkb:P49639	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	intact:EBI-740785|uniprotkb:O43363|uniprotkb:B2R8U7|uniprotkb:A4D184	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:hxa1_human(display_long)|uniprotkb:HOXA1(gene name)|psi-mi:HOXA1(display_short)|uniprotkb:HOX1F(gene name synonym)|uniprotkb:Homeobox protein Hox-1F(gene name synonym)	psi-mi:"MI:0089"(protein array)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2605242|imex:IM-19010-15	author score:18.36|intact-miscore:0.57
uniprotkb:Q9UIF8	uniprotkb:P04156	intact:EBI-741542|uniprotkb:Q96EA1|uniprotkb:Q96SQ8|uniprotkb:Q9P252|uniprotkb:Q9Y4N8|uniprotkb:D3DPA8	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	psi-mi:baz2b_human(display_long)|uniprotkb:KIAA1476(gene name synonym)|uniprotkb:hWALp4(gene name synonym)|uniprotkb:BAZ2B(gene name)|psi-mi:BAZ2B(display_short)	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:"MI:0089"(protein array)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2605270|imex:IM-19010-17	author score:7.97|intact-miscore:0.44
uniprotkb:P07498	uniprotkb:P04156	intact:EBI-2602175|uniprotkb:Q13575	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	psi-mi:cask_human(display_long)|uniprotkb:CSN3(gene name)|psi-mi:CSN3(display_short)|uniprotkb:CASK(gene name synonym)|uniprotkb:CSN10(gene name synonym)|uniprotkb:CSNK(gene name synonym)	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:"MI:0089"(protein array)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2605256|imex:IM-19010-16	author score:12.58|intact-miscore:0.44
uniprotkb:Q9BRJ6	uniprotkb:P04156	intact:EBI-751612	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	psi-mi:cg050_human(display_long)|uniprotkb:C7orf50(gene name)|psi-mi:C7orf50(display_short)|uniprotkb:FP15621(orf name)	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:"MI:0089"(protein array)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2605284|imex:IM-19010-18	author score:6.79|intact-miscore:0.44
uniprotkb:Q15527	uniprotkb:P04156	intact:EBI-723863|uniprotkb:Q96CD1|uniprotkb:Q6IBP9	intact:EBI-977302|dip:DIP-29933N|uniprotkb:O60489|uniprotkb:P78446|uniprotkb:Q15216|uniprotkb:Q15221|uniprotkb:Q27H91|uniprotkb:Q8TBG0|uniprotkb:Q96E70|uniprotkb:Q9UP19|uniprotkb:Q5QPB4	psi-mi:surf2_human(display_long)|uniprotkb:SURF2(gene name)|psi-mi:SURF2(display_short)	psi-mi:prio_human(display_long)|uniprotkb:PRNP(gene name)|psi-mi:PRNP(display_short)|uniprotkb:PRIP(gene name synonym)|uniprotkb:PRP(gene name synonym)|uniprotkb:ALTPRP(gene name synonym)|uniprotkb:PrP27-30(gene name synonym)|uniprotkb:PrP33-35C(gene name synonym)|uniprotkb:ASCR(gene name synonym)	psi-mi:"MI:0089"(protein array)	Satoh et al. (2009)	pubmed:18482256|imex:IM-19010	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2605298|imex:IM-19010-19	author score:6.31|intact-miscore:0.44
